ID,Strategy,Progress,Classification,Strategy_Label
77th 1-16-40-2,cm will contact past employers with client to get letters of recommendations and cm presence in court,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 1-16-45-1,speak to teacher about mother and refer client to job readiness program,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 1-16-47-2,cm will work on getting tutoring services along with checking teachers on his lows in the class.,N/A - not applicable to this phase,0,Mentorship for school/job readiness
77th 1-16-50-2,to mentor client with basic life skills and self esteem worksheets,A Little progress,3,Substance abuse/Anger management/Life skill class
77th 1-16-64-1,referred him to in-house services through sea charter school,A Little progress,0,Mentorship for school/job readiness
77th 1-16-81-1,life skills- self love,Some progress,3,Substance abuse/Anger management/Life skill class
77th 1-16-95-1,one on one anger management skills,Task/Service successfully completed,3,Substance abuse/Anger management/Life skill class
77th 1-16-110-1,refer her to a youth pastor,Good progress,0,Mentorship for school/job readiness
77th 1-16-114-1,cm will have her start job readiness program in jan. 2018,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 1-16-115-1,client will join cm job readiness program starting jan 2018,N/A - not applicable to this phase,0,Mentorship for school/job readiness
77th 1-16-252-1,mentoring sessions,Some progress,0,Mentorship for school/job readiness
77th 1-16-252-1,working on self love,Excellent progress,0,Mentorship for school/job readiness
77th 1-16-252-1,one on one mentoring sessions,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 1-16-253-1,cm gave her a job lead at a temp service,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 1-16-259-1,working on job readiness with client then build resume,A Little progress,0,Mentorship for school/job readiness
SSSEA-0-126-1,cm gave client a flier so he can attend orientation.,No progress,0,Mentorship for school/job readiness
SSSEA-0-157-1,refer her to gbb,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-157-1,cm was able to contact lead from the inglewood fire department lead gave cm forms and study materials for orientation. cm gave client the information as well.,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-166-1,cm went to chucos to get application for parent and client to sign and cm will be attending orientation with client b/c mother cant miss work.,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-168-1,refer her to laul ,Some progress,0,Mentorship for school/job readiness
SSSEA-0-168-1,client stated laul was hard to contact. ciw and cm was able to assist clt to get enrolled in sea hyde park.,Task/Service successfully completed,0,Mentorship for school/job readiness
