ID,Problem,Strategy,Progress,Problem_Classification,Problem_Label
77th 1-16-40-2,wants to expunge her record,CM will contact past employers with client to get letters of recommendations and CM presence in court,Task/Service successfully completed,0,Emotional/behavior issues
77th 1-16-45-1,needs a job client is a foster kid and her foster mom takes all her money,speak to teacher about mother and refer client to job readiness program,Task/Service successfully completed,0,Emotional/behavior issues
77th 1-16-47-2,has poor grades and want to get better grades,CM will work on getting tutoring services along with checking teachers on his lows in the class.,N/A - not applicable to this phase,0,Emotional/behavior issues
77th 1-16-50-2,client don't believe in herself,to mentor client with basic life skills and self esteem worksheets,A Little progress,0,Emotional/behavior issues
77th 1-16-64-1,client has a lot of issues he is a foster kid and he been looking for his real mom and always thought of finding his siblings if he had any.,referred him to in-house services through SEA Charter School,A Little progress,0,Emotional/behavior issues
77th 1-16-81-1,low self esteem,LIFE SKILLS- SELF LOVE,Some progress,0,Emotional/behavior issues
77th 1-16-95-1,client has girl drama at school with gossiping cm will have individual sessions for anger management,One on One Anger Management skills,Task/Service successfully completed,0,Emotional/behavior issues
77th 1-16-110-1,client and mother got into a fight and she got kicked out of the house and moved with her grandparents (father's parents),refer her to a youth pastor,Good progress,0,Emotional/behavior issues
77th 1-16-114-1,she needs a job/issue is she never attended a job readiness program,CM will have her start Job Readiness Program in Jan. 2018,Task/Service successfully completed,0,Emotional/behavior issues
77th 1-16-115-1,client needs a job so she can buy things she need for school.,Client will join CM Job Readiness Program starting Jan 2018,N/A - not applicable to this phase,4,Need assistance with school enrollment/improving school grades
77th 1-16-252-1,low self esteem,MENTORING SESSIONS,Some progress,0,Emotional/behavior issues
77th 1-16-252-1,low self esteem,WORKING ON SELF LOVE,Excellent progress,0,Emotional/behavior issues
77th 1-16-252-1,low self esteem,ONE ON ONE MENTORING SESSIONS,Task/Service successfully completed,0,Emotional/behavior issues
77th 1-16-253-1,needs a job,CM GAVE HER A JOB LEAD AT A TEMP SERVICE,Task/Service successfully completed,0,Emotional/behavior issues
77th 1-16-259-1,he is on probation and he needs to be occupied after school so cm will help client find a job,WORKING ON JOB READINESS WITH CLIENT THEN BUILD RESUME,A Little progress,0,Emotional/behavior issues
SSSEA-0-126-1,job readiness,CM gave client a flier so he can attend orientation.,No progress,0,Emotional/behavior issues
SSSEA-0-157-1,anger management,refer her to GBB,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-157-1,wants to be productive in her life so she is interested in the youth fire academy.,CM was able to contact lead from the Inglewood Fire Department lead gave CM forms and study materials for Orientation. CM gave client the information as well.,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-166-1,client got kicked out of sea crenshaw and now cm has to find a school for client ,CM went to Chucos to get application for parent and client to sign and CM will be attending Orientation with client b/c mother cant miss work.,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-168-1,ged/hs diploma,Refer her to LAUL ,Some progress,0,Emotional/behavior issues
SSSEA-0-168-1,ged/hs diploma,client stated LAUL was hard to contact. CIW and CM was able to assist CLT to get enrolled in SEA Hyde Park.,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-173-1,reading needs help,finding a tutor to assist client.,No progress,0,Emotional/behavior issues
SSSEA-0-173-1,need a job,CM will take client to Fat Burger to fill out an application,Good progress,0,Emotional/behavior issues
SSSEA-0-173-1,job readiness,Sent client to 54th & Crenshaw Youth Worksource Center,No progress,0,Emotional/behavior issues
SSSEA-0-174-1,anger promblems,in house counseling,No progress,0,Emotional/behavior issues
SSSEA-0-174-1,needs a job,CM went to the new Fatburger on slauson and Crenshaw and was able to collect 15 applications to give out and client was one of them that got hired.,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-177-1,need a job,CM gave client a flier to attend job readiness orientation on 54th and Crenshaw,No progress,0,Emotional/behavior issues
