,GRYD_ETO_ID,S6b_Other_Activities,Normalized_Answers
0,BVCB-0-144-1,"Working out, CBT, boxing","workout, boxing"
1,BVCB-0-174-1,Basketball,basketball
2,Southeast 3-10-24-1,Extra activities with children,activities
3,Southeast 3-10-18-1,Actor/dance,art
4,Southeast 3-10-17-1,Singing,art
5,Southeast 3-10-19-1,Singing in church praise team choir,"art, church"
6,RPARGR-PP-158-3,Community events,community
7,77th 3-20-146-1,,
8,Foothill-14-192-1,,
9,BVCB-0-77-1,"Looking for a job, studying, reading","job, study, read"
10,Newton 1-17-66-1,,
11,77th 2-13-1301-1,Church,church
12,SPWTN-0-84-1,GRYD,gryd
13,Harbor-21-127-1,,
14,NHSEA-0-218-3,,
15,Hollywood-12-35-1,Workshops,workshop
16,Harbor-21-128-1,,
17,SPWTN-0-106-1,,
18,Harbor-21-107-1,,
19,RPARGR-PP-15-2,Drug free world workshop,workshop
20,Hollywood-12-34-1,,
21,Hollywood-12-36-1,,
22,Southeast 1-22-17-1,Church,church
23,Southwest 2-23-39-1,,
24,Northeast-20-57-2,Working on all paperwork needed to work,work
25,BVCB-0-140-2,Goal planning,other
26,Southeast 1-22-33-1,Help clean weight and locker room,volunteer
27,Southwest 1-15-244-2,CBI & Goal planning,cbi
28,Hollenbeck 1-20-4-2,Urban Arts Movement Program Workshops,uam
29,Olympic-12-29-1,Community hours at Church,church
30,Southeast 1-22-31-1,Training for football,workout
31,Foothill-14-227-1,,
32,77th 3-20-92-1,"Grooming, reading, writing, mentoring","read, art, mentored"
33,Southeast 1-22-23-1,,
34,77th 3-20-39-2,,
35,Harbor-21-111-1,,
36,Northeast-20-25-2,,
37,Northeast-20-12-2,"Drug program, job preparation, GRYD","program, job, gryd"
38,Northeast-20-97-2,,
39,Southeast 1-22-15-1,,
40,Foothill-14-219-1,,
41,Foothill-14-211-1,,
42,Southeast 1-22-27-1,Working,work
43,Northeast-20-98-2,Life skills workshop,life-skills
44,Northeast-20-1-2,GRYD,gryd
45,NHSEA-0-222-3,GRYD mentorship,gryd
46,Southeast 1-22-24-1,School and work,"school, work"
47,Hollenbeck 1-20-44-2,,
48,Southeast 1-22-19-1,,
49,Mission-19-96-1,Job training,job
50,Hollenbeck 2-20-30-2,Job preparation,job
51,Southeast 1-22-36-1,,
52,Hollenbeck 1-20-2-2,Tutoring,tutor
53,Northeast-20-64-2,,
54,Southeast 1-22-32-1,Swimming,workout
55,Northeast-20-56-2,"GRYD, boxing, Church","gryd, boxing, church"
56,Southeast 1-22-12-1,Job search,job
57,Southeast 2-20-157-1,,
58,Harbor-21-137-1,,
59,77th 1-16-25-1,,
60,Hollenbeck 2-20-9-2,,
61,Northeast-20-61-2,GRYD,gryd
62,Foothill-14-224-1,,
63,Northeast-20-100-2,,
64,Southeast 2-20-158-1,,
65,NHSEA-0-275-2,,
66,77th 1-16-97-1,,
67,Harbor-21-134-1,,
68,BVCB-0-235-2,School/classes,school
69,FGSEARE-0-35-1,Parenting class,class
70,Harbor-21-112-1,GRYD,gryd
71,77th 1-16-34-1,,
72,Newton 2-23-95-1,,
73,Northeast-20-35-2,GRYD Gender Specific Workshop,gender-workshop
74,Northeast-20-83-2,Northeast Youth Council,council
75,Northeast-20-13-2,GRYD,gryd
76,Southwest 1-15-288-2,Job search,job
77,Northeast-20-10-2,GRYD,gryd
78,NHSEA-0-322-2,,
79,77th 1-16-40-1,,
80,77th 3-20-30-1,,
81,Northeast-20-90-2,GRYD,gryd
82,SSSEARE-0-7-1,"Play basketball, Church, read or watch documentaries","basketball, church, read"
83,FGSEARE-0-37-1,,
84,BVCB-0-191-1,"Volunteering, excersizing [sic], church, reading regularly","volunteer, workout, church, read"
85,Southeast 1-22-40-1,,
86,77th 1-16-51-1,Sports,sports
87,77th 1-16-9-1,,
88,Southeast 1-22-18-1,Doctor appointment (pregnant) WIC,doctor
89,Southeast 1-22-34-1,"Counseling. doctor, appt.","counseling, doctor"
90,Southeast 1-22-3-1,Church,church
91,Southeast 1-22-7-1,To program,program
92,Southeast 1-22-8-1,Help in my home,volunteer
93,NHSEA-0-323-3,,
94,Hollywood-12-41-1,Community events,community
95,Newton 2-23-15-1,"Church, Church outings, bike riding","church, workout"
96,RPARGR-PP-17-3,Community volunteer,volunteer
97,Harbor-21-110-1,,
98,Harbor-21-113-1,,
99,Harbor-21-108-1,,
100,CPHBRE-0-43-1,,
101,Harbor-21-109-1,GRYD,gryd
102,Newton 2-23-88-1,GRYD,gryd
103,Hollenbeck 2-20-27-2,,
104,Mission-19-92-1,GRYD,gryd
105,Hollenbeck 1-20-27-2,Urban Arts Movement Program,uam
106,BVCB-0-213-2,Looking for a job,job
107,77th 1-16-57-1,,
108,77th 1-16-56-1,Library/basketball,"read, basketball"
109,Newton 1-17-92-1,,
110,Southeast 1-22-5-1,,
111,Northeast-20-161-1,GRYD activites/parenting classes,"gryd, class"
112,Newton 1-17-85-1,Walking/exercise,workout
113,77th 3-20-106-1,,
114,Hollenbeck 1-20-22-2,,
115,NHSEA-0-360-2,Sports asst.,sports
116,77th 3-20-3-1,,
117,NHSEA-0-348-2,Church and working out,"church, workout"
118,Southwest 1-15-254-1,,
119,Newton 1-17-76-1,,
120,Southwest 1-15-255-1,Job search,job
121,77th 3-20-87-1,Condoing [sic],condone
122,Newton 2-23-92-1,"Life skills, boxing","life-skills, boxing"
123,77th 3-20-69-1,,
124,Hollywood-12-13-1,Help Aztecs Risings,help
125,Newton 1-17-70-1,,
126,Hollenbeck 2-20-1-2,Going to library or park,"art, workout"
127,Olympic-12-50-1,Dancing,art
128,Hollywood-12-8-1,Neighborhood activities,activities
129,Southeast 2-20-43-1,,
130,Southeast 2-20-54-1,,
131,Newton 2-23-73-1,,
132,Hollywood-12-7-1,Volunteer work,volunteer
133,Newton 2-23-75-1,Job preparation,job
134,Harbor-21-125-1,,
135,77th 1-16-37-2,,
136,RPARGR-PP-74-3,Community service,community
137,77th 3-20-108-1,"YEIP, volunteering, dance","volunteer, art"
