,GRYD_ETO_ID,Categorized_Activities
0,BVCB-0-144-1,sports
1,BVCB-0-174-1,sports
2,Southeast 3-10-24-1,volunteer
3,Southeast 3-10-18-1,art
4,Southeast 3-10-17-1,art
5,Southeast 3-10-19-1,"art, church"
6,RPARGR-PP-158-3,community
7,77th 3-20-146-1,
8,Foothill-14-192-1,
9,BVCB-0-77-1,"job, study"
10,Newton 1-17-66-1,
11,77th 2-13-1301-1,church
12,SPWTN-0-84-1,
13,Harbor-21-127-1,
14,NHSEA-0-218-3,
15,Hollywood-12-35-1,program
16,Harbor-21-128-1,
17,SPWTN-0-106-1,
18,Harbor-21-107-1,
19,RPARGR-PP-15-2,program
20,Hollywood-12-34-1,
21,Hollywood-12-36-1,
22,Southeast 1-22-17-1,church
23,Southwest 2-23-39-1,
24,Northeast-20-57-2,job
25,BVCB-0-140-2,selfimprovement
26,Southeast 1-22-33-1,volunteer
27,Southwest 1-15-244-2,program
28,Hollenbeck 1-20-4-2,program
29,Olympic-12-29-1,church
30,Southeast 1-22-31-1,sports
31,Foothill-14-227-1,
32,77th 3-20-92-1,"hygiene, read, art, program"
33,Southeast 1-22-23-1,
34,77th 3-20-39-2,
35,Harbor-21-111-1,
36,Northeast-20-25-2,
37,Northeast-20-12-2,"program, job"
38,Northeast-20-97-2,
39,Southeast 1-22-15-1,
40,Foothill-14-219-1,
41,Foothill-14-211-1,
42,Southeast 1-22-27-1,job
43,Northeast-20-98-2,selfimprovement
44,Northeast-20-1-2,
45,NHSEA-0-222-3,
46,Southeast 1-22-24-1,"school, work"
47,Hollenbeck 1-20-44-2,
48,Southeast 1-22-19-1,
49,Mission-19-96-1,job
50,Hollenbeck 2-20-30-2,job
51,Southeast 1-22-36-1,
52,Hollenbeck 1-20-2-2,study
53,Northeast-20-64-2,
54,Southeast 1-22-32-1,sports
55,Northeast-20-56-2,"sports, church"
56,Southeast 1-22-12-1,job
57,Southeast 2-20-157-1,
58,Harbor-21-137-1,
59,77th 1-16-25-1,
60,Hollenbeck 2-20-9-2,
61,Northeast-20-61-2,
62,Foothill-14-224-1,
63,Northeast-20-100-2,
64,Southeast 2-20-158-1,
65,NHSEA-0-275-2,
66,77th 1-16-97-1,
67,Harbor-21-134-1,
68,BVCB-0-235-2,study
69,FGSEARE-0-35-1,class
70,Harbor-21-112-1,
71,77th 1-16-34-1,
72,Newton 2-23-95-1,
73,Northeast-20-35-2,program
74,Northeast-20-83-2,other
75,Northeast-20-13-2,
76,Southwest 1-15-288-2,job
77,Northeast-20-10-2,
78,NHSEA-0-322-2,
79,77th 1-16-40-1,
80,77th 3-20-30-1,
81,Northeast-20-90-2,
82,SSSEARE-0-7-1,"sports, church, study"
83,FGSEARE-0-37-1,
84,BVCB-0-191-1,"volunteer, sports, church, study"
85,Southeast 1-22-40-1,
86,77th 1-16-51-1,sports
87,77th 1-16-9-1,
88,Southeast 1-22-18-1,therapy
89,Southeast 1-22-34-1,therapy
90,Southeast 1-22-3-1,church
91,Southeast 1-22-7-1,program
92,Southeast 1-22-8-1,volunteer
93,NHSEA-0-323-3,
94,Hollywood-12-41-1,community
95,Newton 2-23-15-1,"church, sports"
96,RPARGR-PP-17-3,volunteer
97,Harbor-21-110-1,
98,Harbor-21-113-1,
99,Harbor-21-108-1,
100,CPHBRE-0-43-1,
101,Harbor-21-109-1,
102,Newton 2-23-88-1,
103,Hollenbeck 2-20-27-2,
104,Mission-19-92-1,
105,Hollenbeck 1-20-27-2,program
106,BVCB-0-213-2,job
107,77th 1-16-57-1,
108,77th 1-16-56-1,"study, sports"
109,Newton 1-17-92-1,
110,Southeast 1-22-5-1,
111,Northeast-20-161-1,family
112,Newton 1-17-85-1,sports
113,77th 3-20-106-1,
114,Hollenbeck 1-20-22-2,
115,NHSEA-0-360-2,sports
116,77th 3-20-3-1,
117,NHSEA-0-348-2,"church, sports"
118,Southwest 1-15-254-1,
119,Newton 1-17-76-1,
120,Southwest 1-15-255-1,job
121,77th 3-20-87-1,selfimprovement
122,Newton 2-23-92-1,"selfimprovement, sprots"
123,77th 3-20-69-1,
124,Hollywood-12-13-1,volunteer
125,Newton 1-17-70-1,
126,Hollenbeck 2-20-1-2,"art, sports"
127,Olympic-12-50-1,art
128,Hollywood-12-8-1,community
129,Southeast 2-20-43-1,
130,Southeast 2-20-54-1,
131,Newton 2-23-73-1,
132,Hollywood-12-7-1,volunteer
133,Newton 2-23-75-1,job
134,Harbor-21-125-1,
135,77th 1-16-37-2,
136,RPARGR-PP-74-3,community
137,77th 3-20-108-1,"volunteer, art"
138,Hollywood-12-2-1,volunteer
139,Hollywood-12-9-1,sports
140,Newton 2-23-53-1,
141,Newton 2-23-37-1,
142,SSSEARE-0-39-1,
143,Newton 1-17-93-1,
144,FGSEARE-0-24-1,sports
145,Newton 2-23-61-1,selfimprovement
146,CPHBRE-0-55-1,
147,FGSEARE-0-34-1,
148,Newton 2-23-66-1,church
149,FGSEARE-0-38-1,
150,Harbor-21-136-1,
151,Newton 2-23-4-1,
