S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion
"Working out, CBT, boxing","School. Poor grades, car accident, not enough work hours",School,,School,Other group,Group,Somebody got out of jail that brought a lot of drama,School. work. moving,fear
Basketball,Mother died,Basketball,,,No name,Money Gang,,,sadness
Extra activities with children,Favor cousin was murder and never found his killer :(,"Church, job and school",Church choir and praise team,,Church group,No group,,,fear
Actor/dance,Best friend brother was murder [sic] by 16 and 13 :(,"Church, school and job",Church choir and praise team,,No name,No name,,,sadness
Singing,Best fried brother was murder [sic] by 18yr boy,"Church, job, and school",Church choir and praise team,,No name,No name,,,joy
Singing in church praise team choir,Best friend brother was murder [sic] by 22yr man! :(,"All church, job and school",Church choir and praise team,,No name,No name,,,sadness
,My mom going to jail,,,,No other group,Homies,My mom went to jail,I want to get my high school diploma or GED,fear
"Looking for a job, studying, reading",Broke up with my long time boyfriend.,,,Other,Other,Group,Yea. It's nothing over there. All bad stuff people dying.,Trying to go to school. Looking for a job,sadness
Church,Family member killed,,,,No other group,No group,,,fear
GRYD,Friend was shot,,,,No other group,Homies,Nothing,No,fear
,Relationship,School peer,,Neighbors,Co-workers,Homies,Friend was shot,Having a kid,neutral
,Getting shot at,Co-worker,,,Co-workers,Homies,Nothing,"Yes, picked up more work and brought a ss truck",fear
Drug free world workshop,Very stressful hanging out with the wrong people.,,,Friends,Friends,Homies,Nothing,Coming to workshops at Aztecs Rising pulls me from hanging with my homies,fear
,When my brother got busted,,,Friends,Friends,Homies,Brother is in jail but this has brought me closer to my homies,No.,anger
,I became homeless,,,At Aztecs worksop,Other people,Droopy,Nothing,I started working as a welder and had a girlfriend,fear
Training for football,Client declines to talk about it,School/training/friends,Football team,Friends from the block,Football/training,No group,,,neutral
,Not able to see my daughter,,,,No other group,Bagos,"The homies gave me a gun, then told me I see a future in you to be in the Bagos","Getting shot in the leg or any other part of my body. If my mother pass I will have to take care of my brother, brother and one sister",joy
,Best friend was killed in a car to car shooting,,,Neighbors to watch soccer,Soccer,E3,Nothing,No,fear
,Transferring out of schools,,,Acquintances,Acquaintances,No name,"The death of my cousin by his own best friend, helps me not to trust anyone",Moving schools,joy
"Drug program, job preparation, GRYD",Can't smoke anymore,,Drug Program. GRYD,Boyfriend + Best friend,Ride or dies,Homegirls,"Yes, turning 18 and having to look for a job. Getting locked up has helped me stay away from trouble",Turning 18 and having to get a job,neutral
,Family situation/home problems,School friends. Childhood friends.,,Same friends from school,Squad,Friends,"""2 of my friends got hurt really bad""","""Nothing""",fear
,My friend died of cancer,,,,No other group,No name,When I got to be on my own,"Enroll in school, had a job, legal issues taken care of",sadness
,Ex-boyfriend drama,School friends,Female empowerment,Old schools,Female empowerment group,Terra Bella,"My brother was shot and killed so that's why I don't want to hang out with them because if you hang out with them, b/c you're cool with someone you can be shot at","Yes, I want to get myself up and do good, get my life going, and not be down like them.",sadness
,Getting locked up,G.A.N.G.,,,G.A.N.G.,No group,,,anger
Working,Problems in family,,,,No other group,Hoovers,My boyfriend got jumped and he went back and shot the people - so now people are telling me that is my fault that the person is my boyfriend,I want enroll in college,fear
Life skills workshop,Family problems,,,Just friends,Friends,MILK,Nothing,Nothing,sadness
GRYD,Been away from home.,Sports friend,,Old classmates,The squat,No group,,,neutral
GRYD mentorship,Family/Friends actions,School and job,,Positive role model,Role models,No group,,,joy
School and work,Ended a relationship,,,,No other group,Hoovers,Because I was not doing anything - My friends were doing things that got them in trouble w/the law,I be going to school and began working,sadness
,Family problems,,,,No other group,Friends,Friends getting hurt,Free time,sadness
Swimming,Friend was shot,,,,No other group,No group,,,fear
,Getting shot,,,,No other group,Homies,Getting shot and almost dying,No,fear
,Moving back home,,,,No other group,Homies,"Respect, loyal, good times",Moving back home,joy
,Lost of grandmother,,,,No other group,Friends,Family,Too much free time.,sadness
,Grandfather and father died,Cheryl Green Center,Youth Club,Youth Club,Youth club,4,Nothing,Went to rise up,sadness
School/classes,Uncle was murdered,,,,No other group,Group,,,neutral
GRYD,Family member shot,Used to but no longer working full time,,,No other group,Cruces,Best friend was shot,No,joy
Northeast Youth Council,Family issues,Youth council,,Northeast Youth Council,Youths counsel,No group,,,neutral
GRYD,Being homeless,,,,No other group,Friends,Going to jail,Spending more time with my mom,fear
,How I have not been able to get a job.,Cooking class,,,No other group,No group,,,neutral
GRYD,Living with mom,Job and school,,Friends,Friends,Family,Nothing,"Being busy, starting to work",joy
"Volunteering, excersizing [sic], church, reading regularly",Work. Stress. Racism,,,,No other group,Group,No. I moved to calif to make a change,Growing up. Being a man. Being a father. Taking responsibility for my actions,fear
Doctor appointment (pregnant) WIC,My operation in my legs,,,,No other group,Hoovers,Them going to jail. I don't want to be around that. I don't want to be around when enemies come around and I will get shot,My been pregnant,neutral
"Counseling. doctor, appt.",Passing of Dad,,,,No other group,Hoovers,"My dad passing, my friend talk bad about me",I am in a relationship w my girl. Ex friends everyone and talking bad about me downing me.,neutral
Help in my home,Not getting along with my mom,,,,No other group,Hoovers,Nothing,Nothing they're my family,neutral
,Best friend was shot,,,,No other group,4th,Losing custody of my kids,No,joy
GRYD,Friend shot in front of client's apt,,,,No other group,227,Friend was shot in front of apartment,Getting tickets cleared up,joy
GRYD,Car broke down,Co-workers,,Co workers/GRYD,G,G's,Death of friends,Having a son,fear
Urban Arts Movement Program,Moving homes,Classmates or sports,Urban Arts Movement Program,,No other group,Homies,When my brother came out of prison,Trying to graduate school and get a job.,neutral
Looking for a job,My dad being in jail all my life,,,,No other group,Group,Yea. Losing closed loved ones.,Yea. Going to school.,sadness
,I don't have a job and I need money for baby stuff,,,,GRYD,Homies,I can't really go anywhere because I get worried about my boyfriend getting stopped by the police going to jail,"I'm getting married, having a child and graduating from school. Don't really have energy to go out and hang out with friends",neutral
Library/basketball,Me and my mom fighting and getting in arguments,,,Best friends,Best friends,Family,Me and my mom getting into a fight and her calling the cops on me and taking me thing away. And handcuff and it's like I don't know who she is to me anymore,When someone makes me feel that I had to do something I didn't want to and it hurt me to know that I did this and I cry about it sometimes,joy
GRYD activites/parenting classes,Dealing with DCFS,,,,No other group,Bagos,People/friends getting injured,Losing my kids to DCFS,neutral
Church and working out,Mother passed away,School friends,Church,Childhood friends,Childhood friends,No group,,,sadness
,Relationship issues,,,,No other group,No group,,,sadness
,My brother going to jail,Public,,My friends,Friends,No group,,,fear
Going to library or park,Doesn't want to say,,,,No other group,No group,,,neutral
,Almost homeless,,,Friends,No other group,Homies,Nothing,Having a baby,fear
,Not being in school,GRYD,,,GRYD,Crips,The streets and experiences of what can happen within these dangerous streets at night.,Success and living healthier.,neutral
Church,My friend was approached and threatened for his phone. Police were called. I was present.,"School friends, GRYD Program",,,School,No group,,,fear
,"Housing problems, family issues (mom went to jail), separation",Job related,Cheer/Dance tumbling,"football players, cheer friends",Football,No group,,,sadness
GRYD,Family problem/everything is stressful I have anxiety,GRYD,,,GRYD,4 People,Nothing,Low key finding a job that will remove time w/friends,fear
Church and life workshop w/ GRYD,Brother got busted,GRYD,,,GRYD,Childhood friends,"Yes - death of a friend, Chris","Got into it with my ""so called friends""",neutral
GRYD,My mother leaving to Mexico. I was close to her feel lonely. Love is not strong enough.,,,Yes only jada and her family,School friends,2 Friends,"My big brother being in jail, not having my little sister and mom hurts me so much I sometimes wanna be away from everybody",None,sadness
GRYD,Put down all the time by my sisters. School + working is stressful.,Job,GRYD,,Co-workers,Friends,Nothing,Yes working a job,neutral
"Volunteer, running, self-discipline",Fighting with dad,Running group,Swim/Running,LGBT center,Running group,Cholos,As I got older I was thinking more of myself and caring more about school than getting warned about the law,Sports have been helping me. Another reason I stopped hanging out was my dad did not support me.,fear
VOA Life skills and boxing at South LS boxing,Disconnection in relationship with father,School friends,Boxing,VOA,Volunteers of America (GRYD),No group,,,fear
,Shot at,,,,No other group,No group,,,fear
"Reading, time with kids","Mother got sick (fiber myalgia [sic]), step father (cancer), and grand mother got sick (dementia)",,,,No other group,Group,"Yes, deaths, unnecessary jail visits",Getting a job,fear
GRYD,Moved out of my parents house,School friends,,,School friends,Random,Nothing,Started working and have no time for friends,joy
Hangs out at the park,Getting arrest,,,,No other group,Boys,"Being on probatoin, fear scared when sees police",Being on probation,fear
"Working, basketball",Homies were killed,,,,No name,52nd St. Bloods,,,fear
,Taking care of my son,Youth build friends from school,,,Youthbuild friends,No group,,,joy
,Shot at,,,,No other group,No group,,,fear
"Black student union, photography for school year book.",My parents divorced 2-3 years.,,,,No other group,No group,,,sadness
,"Month ago, friend shot now parralyzed [sic]",School friends,,Friends,School friends,No group,,,joy
Dance class,Family issues,Friends from cadets,Soccer,Church group,cadets,No group,,,neutral
Life skills/workshops,Cousin died in car accident,VOA,,,Volunteers of America (GRYD),No group,,,sadness
,"Going to jail, not having a good relationship and leaving child for 6-8 months",,,Friends,Friends,Friends,,"Cousin, coming to me taking me to church and preaching to me on how life is supposed to be",sadness
