S6b_Other_Activities,,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion,S11a_Comments
"Working out, CBT, boxing",,School,,School,Other group,Group,Somebody got out of jail that brought a lot of drama,School. work. moving,fear,"School. Poor grades, car accident, not enough work hours"
Basketball,,Basketball,,,No name,Money Gang,,,sadness,Mother died
Extra activities with children,,"Church, job and school",Church choir and praise team,,Church group,No group,,,fear,Favor cousin was murder and never found his killer :(
Actor/dance,,"Church, school and job",Church choir and praise team,,No name,No name,,,sadness,Best friend brother was murder [sic] by 16 and 13 :(
Singing,,"Church, job, and school",Church choir and praise team,,No name,No name,,,sadness,Best fried brother was murder [sic] by 18yr boy
Singing in church praise team choir,,"All church, job and school",Church choir and praise team,,No name,No name,,,sadness,Best friend brother was murder [sic] by 22yr man! :(
,,,,,No other group,Homies,My mom went to jail,I want to get my high school diploma or GED,fear,My mom going to jail
"Looking for a job, studying, reading",,,,Other,Other,Group,Yea. It's nothing over there. All bad stuff people dying.,Trying to go to school. Looking for a job,sadness,Broke up with my long time boyfriend.
Church,,,,,No other group,No group,,,fear,Family member killed
GRYD,,,,,No other group,Homies,Nothing,No,fear,Friend was shot
,,School peer,,Neighbors,Co-workers,Homies,Friend was shot,Having a kid,neutral,Relationship
,,Co-worker,,,Co-workers,Homies,Nothing,"Yes, picked up more work and brought a ss truck",fear,Getting shot at
Drug free world workshop,,,,Friends,Friends,Homies,Nothing,Coming to workshops at Aztecs Rising pulls me from hanging with my homies,fear,Very stressful hanging out with the wrong people.
,,,,Friends,Friends,Homies,Brother is in jail but this has brought me closer to my homies,No.,anger,When my brother got busted
,,,,At Aztecs worksop,Other people,Droopy,Nothing,I started working as a welder and had a girlfriend,fear,I became homeless
Training for football,,School/training/friends,Football team,Friends from the block,Football/training,No group,,,neutral,Client declines to talk about it
,,,,,No other group,Bagos,"The homies gave me a gun, then told me I see a future in you to be in the Bagos","Getting shot in the leg or any other part of my body. If my mother pass I will have to take care of my brother, brother and one sister",joy,Not able to see my daughter
,,,,Neighbors to watch soccer,Soccer,E3,Nothing,No,fear,Best friend was killed in a car to car shooting
,,,,Acquintances,Acquaintances,No name,"The death of my cousin by his own best friend, helps me not to trust anyone",Moving schools,joy,Transferring out of schools
"Drug program, job preparation, GRYD",,,Drug Program. GRYD,Boyfriend + Best friend,Ride or dies,Homegirls,"Yes, turning 18 and having to look for a job. Getting locked up has helped me stay away from trouble",Turning 18 and having to get a job,sadness,Can't smoke anymore
,,School friends. Childhood friends.,,Same friends from school,Squad,Friends,"""2 of my friends got hurt really bad""","""Nothing""",fear,Family situation/home problems
,,,,,No other group,No name,When I got to be on my own,"Enroll in school, had a job, legal issues taken care of",sadness,My friend died of cancer
,,School friends,Female empowerment,Old schools,Female empowerment group,Terra Bella,"My brother was shot and killed so that's why I don't want to hang out with them because if you hang out with them, b/c you're cool with someone you can be shot at","Yes, I want to get myself up and do good, get my life going, and not be down like them.",sadness,Ex-boyfriend drama
,,G.A.N.G.,,,G.A.N.G.,No group,,,anger,Getting locked up
Working,,,,,No other group,Hoovers,My boyfriend got jumped and he went back and shot the people - so now people are telling me that is my fault that the person is my boyfriend,I want enroll in college,fear,Problems in family
Life skills workshop,,,,Just friends,Friends,MILK,Nothing,Nothing,sadness,Family problems
GRYD,,Sports friend,,Old classmates,The squat,No group,,,sadness,Been away from home.
GRYD mentorship,,School and job,,Positive role model,Role models,No group,,,joy,Family/Friends actions
School and work,,,,,No other group,Hoovers,Because I was not doing anything - My friends were doing things that got them in trouble w/the law,I be going to school and began working,sadness,Ended a relationship
,,,,,No other group,Friends,Friends getting hurt,Free time,sadness,Family problems
Swimming,,,,,No other group,No group,,,fear,Friend was shot
,,,,,No other group,Homies,Getting shot and almost dying,No,fear,Getting shot
,,,,,No other group,Homies,"Respect, loyal, good times",Moving back home,joy,Moving back home
,,,,,No other group,Friends,Family,Too much free time.,sadness,Lost of grandmother
,,Cheryl Green Center,Youth Club,Youth Club,Youth club,4,Nothing,Went to rise up,sadness,Grandfather and father died
School/classes,,,,,No other group,Group,,,sadness,Uncle was murdered
GRYD,,Used to but no longer working full time,,,No other group,Cruces,Best friend was shot,No,sadness,Family member shot
Northeast Youth Council,,Youth council,,Northeast Youth Council,Youths counsel,No group,,,neutral,Family issues
GRYD,,,,,No other group,Friends,Going to jail,Spending more time with my mom,fear,Being homeless
,,Cooking class,,,No other group,No group,,,neutral,How I have not been able to get a job.
GRYD,,Job and school,,Friends,Friends,Family,Nothing,"Being busy, starting to work",joy,Living with mom
"Volunteering, excersizing [sic], church, reading regularly",,,,,No other group,Group,No. I moved to calif to make a change,Growing up. Being a man. Being a father. Taking responsibility for my actions,fear,Work. Stress. Racism
Doctor appointment (pregnant) WIC,,,,,No other group,Hoovers,Them going to jail. I don't want to be around that. I don't want to be around when enemies come around and I will get shot,My been pregnant,neutral,My operation in my legs
"Counseling. doctor, appt.",,,,,No other group,Hoovers,"My dad passing, my friend talk bad about me",I am in a relationship w my girl. Ex friends everyone and talking bad about me downing me.,sadness,Passing of Dad
Help in my home,,,,,No other group,Hoovers,Nothing,Nothing they're my family,sadness,Not getting along with my mom
,,,,,No other group,4th,Losing custody of my kids,No,sadness,Best friend was shot
GRYD,,,,,No other group,227,Friend was shot in front of apartment,Getting tickets cleared up,sadness,Friend shot in front of client's apt
GRYD,,Co-workers,,Co workers/GRYD,G,G's,Death of friends,Having a son,fear,Car broke down
Urban Arts Movement Program,,Classmates or sports,Urban Arts Movement Program,,No other group,Homies,When my brother came out of prison,Trying to graduate school and get a job.,neutral,Moving homes
