GRYD_ETO_ID,INTERVIEW_DATE_FB,SET_admin_num,AGE_1_FB,SEX_1,GRYD_Zone_num,group_position,PAGE_3,S1,S2,S3,S4x,S5x,S7x,S6ax,S6b_Other_Activities,S9,S10,S10_num,S10x,S10z,S11a,S11a_Comments,S11b,S12,S13,S14,S16,PAGE_4,ME17,ME18,ME19,ME20a,ME20b,ME20x,ME22_ER,P22,P23,P24,P25,P26,C1a,C1b,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,PAGE_5,Group_name_part1,PUSH_1,PULL_1,FS89_foster_now,FS89_foster_past,FS89_group_now,FS89_group_past,FS89_adopted_now,FS89_adopted_past,FS89_parents_now,FS89_parents_past,FS89_relatives_now,FS89_relatives_past,FS89_spouse_now,FS89_spouse_past,FS89_boygirlfriend_now,FS89_boygirlfriend_past,FS89_alone_now,FS89_alone_past,FS90_younger,FS90_teenagers,FS90_20_29_adults,FS90_30_49_adults,FS90_older_adults,PAGE_6,F1,F2,F3,IF_NO_FAMILY_TEXT,no_fam_num,F4,F5,FS91,FS92,FS93,FS94,FS95,FS96,FS97,FS98,PAGE_7,FS100,FS101,FS102,FS103,FS104,FS105,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16a,F16bx,F17x,PAGE_8,F18,F19,F20,F21,F22x,F23x,F24x,F25x,F26,F27,F28x,F29,F31x,F31b,PAGE_9,group_name_part2,no_group_copy,group_status_no_group,no_group_num,G2,G3a,G3b,EG1,EG2_most,EG2_youngest,EG2_oldest,EG3,EG4x,G5,G5_num,G6,G7,G8,G9,X11_FIXED,PAGE_10,G10x,G11,G12x,G13,G14x,G15,G16,G17,G18,G19,G20,G21,G22a,G22bx,G23x,PAGE_11,G24,G25,G26,G27,G28x,G29x,G30x,G31x,G32,G33,G34x,G35,G36x,G36b,G37,PAGE_12,X18,X19,X20,X21,X22,truthy,Optional_Break,Date_of_Break,Time_Break_Begins,Time_Break_Ends,A1,A1_Description,A2,A2_Description,A3,A3_Description,A4,O1_other_group_name,no_othgp_num,Page_13,O4,O5,O6,O7x,O8,O9,X12_FIXED,O10,O11,O12,O13,O14,O15,Page_14,O16,O17,O18,O19a,O19b,O20x,O21,O22,O23,O24,Page_15,X10,X11,X12,X13,X14,X15,X16,X17,Page_16,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8_Not_Honest,Page_17,Completed_by_CIW,CIW_CLIENT_ID,CIW_INTERVIEW_DATE,CIW_COMPLETED_DATE,CIW1,CIW2,CIW3,CIW4,CIW5,CIW6_COMMENTS,END_OF_SET_QUESTIONS
BVCB-0-144-1,"2,01,2015",3,20,2,22,3, ,0,0,1,16,12,8,6,"Working out, CBT, boxing",7,4,4,1,0,1,"School. Poor grades, car accident, not enough work hours",1,1,1,2,1, ,1,5,1,1,1,5,3,5,4,4,1,3,0,,0,,0,,0,,0,, ,Group,Somebody got out of jail that brought a lot of drama,School. work. moving,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,3,0,2,1, ,1,0,5,777,1,1,1,3,2,1,3,4,2,4,1, ,3,3,3,3,4,4,5,3,1,1,1,3,3,2,3,3,3,3, ,5,4,5,3,2,4,3,1,4,5,3,3,4,3, ,Group,1, ,1,17,1,17,6,22,15,30,1,1,0,0,3,0,2,1,0, ,6,1,1,1,1,1,1,1,5,4,1,4,4,4,1, ,1,1,1,1,1,1,1,1,5,5,5,1,5,1,5, ,1,1,1,1,1,1,2, , , ,1,School,0,777,1,School,0,Other group,1, ,4,1,5,2,3,2,2,4,4,3,3,3,4, ,1,5,1,1,1,5,4,2,4,2, ,1,0,2,0,4,0,0,0, ,1,4,1,1,1,3,3,Blank, ,777,BVCB-0-144-1,"2,01,2015","9,09,1999",1,4,2,1,1,Blank, 
BVCB-0-174-1,"3,25,2015",2,21,1,22,3, ,0,0,1,0,0,25,6,Basketball,3,3,3,1,1,1,Mother died,0,3,2,4,3, ,4,3,2,2,4,5,3,5,5,3,3,5,1,90,1,180,1,7,0,,1,1, ,Money Gang,999,999,999,999,999,999,999,999,999,999,1,1,999,999,999,999,999,999,2,1,7,3,2, ,3,20,3,777,1,1,1,5,4,5,5,1,4,3,3, ,3,2,2,2,3,4,3,3,3,3,2,3,5,4,2,3,4,3, ,5,5,5,4,3,5,5,3,3,3,4,3,3,3, ,Money Ganga,1, ,1,8,1,18,5,20,18,27,1,1,3,3,3,3,2,3,2, ,2,4,4,3,4,4,4,5,3,4,1,3,3,3,3, ,5,5,5,4,3,4,4,3,3,3,4,3,2,3,5, ,1,1,1,1,1,1,2, , , ,1,Basketball,0,777,0,777,0,No name,1, ,3,3,3,4,4,2,2,4,4,3,4,3,4, ,4,3,5,4,4,2,5,5,5,4, ,2,2,2,2,0,0,3,3, ,1,4,3,2,2,4,4,Blank, ,777,BVCB-0-174-1,"3,25,2015","4,02,2015",1,4,3,2,2,Blank, 
Southeast 3-10-24-1,"7,21,2015",1,,2,21,2, ,1,1,0,15,5,20,15,Extra activities with children,4,1,1,1,0,1,Favor cousin was murder and never found his killer :(,,1,5,1,1, ,1,3,1,2,1,5,3,4,5,4,1,4,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,2,0,1, ,5,20,20,777,1,5,7,4,3,5,5,5,5,5,3, ,5,3,3,5,3,5,5,5,5,5,5,5,1,5,1,1,1,5, ,5,5,5,2,5,3,3,4,4,3,2,5,1,3, ,No group,0,2,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,0,0,1,0,0.4,2, , , ,1,"Church, job and school",1,Church choir and praise team,0,777,0,Church group,1, ,0,0,0,1,0,3,3,3,3,3,5,5,5, ,1,5,1,1,1,5,3,1,3,2, ,4,0,3,0,1,0,1,1, ,1,4,2,3,3,3,4,Blank, ,777,Southeast 3-10-24-1, , , , , , , ,no page 17 completed, 
Southeast 3-10-18-1,"7,23,2015",1,25,1,21,2, ,1,1,1,10,5,20,15,Actor/dance,5,2,2,1,0,1,Best friend brother was murder [sic] by 16 and 13 :(,0,1,5,3,1, ,1,5,1,2,1,5,3,4,4,2,2,4,0,,0,,0,,0,,0,, ,No name,999,999,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,7,0,4,4,1, ,5,20,16,777,1,5,7,4,3,5,5,5,5,5,3, ,5,3,3,5,3,5,5,5,5,5,5,5,1,5,1,1,1,5, ,5,5,5,2,5,3,3,4,4,3,2,5,1,4, ,No name,1, ,1,8,0,,1,,,,0,0,0,0,0,0,0,0,0, ,0,1,1,1,1,1,1,1,5,5,1,5,5,5,1, ,1,1,1,1,1,1,1,1,5,5,5,1,5,1,1, ,1,1,0,1,0,0.6,2, , , ,1,"Church, school and job",1,Church choir and praise team,0,777,0,No name,1, ,0,0,0,0,0,3,3,5,4,3,3,5,4, ,1,5,1,1,1,5,2,1,4,2, ,4,0,3,0,4,1,1,1, ,1,4,4,3,3,3,4,Blank, ,777,Southeast 3-10-18-1, , , , , , , ,no page 17 completed, 
Southeast 3-10-17-1,"7,23,2015",1,24,2,21,2, ,1,1,1,25,5,20,15,Singing,4,3,3,1,0,1,Best fried brother was murder [sic] by 18yr boy,0,1,5,3,1, ,1,5,1,2,1,5,3,4,4,2,2,4,0,,0,,0,,0,,0,, ,No name,999,999,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,7,0,4,4,1, ,5,20,16,777,1,5,7,4,3,5,5,5,5,5,3, ,5,3,3,5,3,5,5,5,5,5,5,5,1,5,1,1,1,5, ,5,5,5,2,5,3,3,4,4,3,2,5,1,3, ,No name,1, ,1,8,0,,1,,,,0,0,0,0,0,0,0,0,0, ,0,1,1,1,1,1,1,1,5,5,1,5,5,5,1, ,1,1,1,1,1,1,1,1,5,5,5,1,5,1,1, ,1,0,1,0,1,0.6,2, , , ,1,"Church, job, and school",1,Church choir and praise team,0,777,0,No name,1, ,5,5,5,2,1,4,3,5,5,4,4,4,5, ,1,5,1,1,1,5,4,1,4,2, ,4,0,3,0,4,0,2,1, ,,,,,,,,Blank, ,777,Southeast 3-10-17-1, , , , , , , ,no page 17 completed, 
Southeast 3-10-19-1,"7,26,2015",1,24,2,21,2, ,0,0,1,20,2,20,15,Singing in church praise team choir,4,2,2,1,0,1,Best friend brother was murder [sic] by 22yr man! :(,0,1,5,3,1, ,1,5,1,2,1,5,3,4,4,2,2,4,0,,0,,0,,0,,0,, ,No name,999,999,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,2,0,1, ,1,5,5,777,1,5,7,4,3,5,5,5,5,5,3, ,5,3,3,5,3,5,5,5,5,5,5,5,1,5,1,1,1,5, ,5,5,5,2,5,3,3,4,4,3,2,5,1,3, ,No name,1, ,1,8,0,,1,,,,0,0,0,0,0,0,0,0,0, ,0,1,1,1,1,1,1,1,5,5,1,5,5,5,1, ,1,1,1,1,1,1,1,1,5,5,5,1,5,1,1, ,1,1,1,0,0,0.6,2, , , ,1,"All church, job and school",1,Church choir and praise team,0,777,0,No name,1, ,0,0,0,2,0,0,0,1,1,1,1,1,1, ,5,5,5,5,5,1,1,1,1,1, ,4,0,0,0,4,0,0,1, ,1,4,3,3,3,3,4,Blank, ,777,Southeast 3-10-19-1, , , , , , , ,no page 17 completed, 
RPARGR-PP-158-3,"11,06,2015",1,18,1,10,2, ,0,0,0,40,5,0,5,Community events,3,1,1, , ,0,777,0,4,4,4,4, ,4,4,3,3,3,3,3,4,4,1,1,3,0,,0,,0,,0,,0,, ,MS,No,No, , , , , , , , , , , , , , , , , , , , , , ,1,5,1,No,0,,,,,,,,,,, ,,,,,,,,,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,, ,777, ,MS,1, ,1,11,0,,6,18,10,59,1, ,3,3,3,3,3,5,3, ,3,4, ,4, ,4,4,4,3,3,3,3,3,3,3, ,4,4,4,5,4,4,4,3,4,4,4,4, ,3,5, ,1,1,1,1,1,1,2, , , ,0,777,0,777,1,Aztecs,1,Aztecs,1, ,4,1,4,2,4,1,2,4,4,4,4,4,4, ,2,4,2,2,2,4,4,4,4,4, ,9,3,2,2,0,2,2,1, ,2,2,3,1,3,3,4,Blank, ,777,RPARGR-PP-158-3,"11,06,2015","12,10,2015",2,2,3,1,3,Has room to grow, 
77th 3-20-146-1,"11,14,2015",1,19,2,3,1, ,0,0,0,0,0,0,0,777,1,1,1,0,0,0,777,0,1,3,1,1, ,1,5,1,1,1,5,1,4,5,5,5,1,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999, ,1,0,5,777,1,3,7,5,1,5,5,5,5,5,5, ,5,5,5,2,2,3,5,5,3,5,5,5,1,5,1,1,1,5, ,5,4,5,2,4,2,5,5,5,5,5,5,5,2, ,No group,0,1,0,,,,,,,,, ,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,0,0,0,0,0,0,2, , , ,0,777,0,777,0,777,0,No name,1, ,0,0,0,0,0,0,0,1,5,2,5,1,5, ,1,3,1,1,1,5,3,4,3,2, ,0,0,0,0,9,9,0,0, ,4,1,0,4,0,3,3,Blank, ,777,77th 3-20-146-1, , , , , , , ,no page 17 completed, 
Foothill-14-192-1,"1,20,2016",1,20,2,5,1, ,0,0,1,3,0,0,0,777,7,3,3,1,1,1,My mom going to jail,1,4,4,4,4, ,3,3,2,1,3,3,4,4,4,3,4,5,0,,0,,0,,0,,0,, ,Homies,My mom went to jail,I want to get my high school diploma or GED,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,999,2,999, ,0,20,3,777,1,3,3,5,1,1,2,2,3,1,4, ,1,2,1,1,1,1,2,2,3,4,3,2,4,2,3,1,2,3, ,5,3,5,4,3,4,2,4,3,3,4,2,3,4, ,Homies,1, ,1,12,0,,6,10,18,50,1,1,3,3,2,3,3,7,3, ,4,3,3,4,2,2,3,5,4,3,1,2,4,3,1, ,3,3,3,4,3,4,3,2,4,3,2,5,4,3,4, ,1,1,1,1,1,1,2, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,1,3,9,4,0,9,6,5, ,3,2,4,1,4,5,3,Blank, ,999,Foothill-14-192-1, , , , , , , ,no page 17 completed, 
BVCB-0-77-1,"2,01,2016",4,22,2,22,3, ,0,0,0,40,16,0,12,"Looking for a job, studying, reading",6,2,2,1,0,1,Broke up with my long time boyfriend.,1,2,3,2,2, ,3,4,2,2,2,3,2,5,5,4,5,4,0,,0,,0,,0,,0,, ,Group,Yea. It's nothing over there. All bad stuff people dying.,Trying to go to school. Looking for a job,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,10,3,5,10,4, ,2,0,3,777,1,1,1,1,2,4,5,3,1,1,1, ,3,5,2,3,1,4,3,2,3,4,4,3,2,3,2,2,2,4, ,5,5,5,3,4,3,3,2,4,3,4,3,2,4, ,Group,1, ,1,17,1,20,6,21,18,46,1,1,0,0,1,0,0,0,0, ,999,2,2,2,2,2,2,3,4,3,2,4,2,3,3, ,3,3,4,3,2,2,2,2,2,4,4,2,4,2,5, ,1,0,0,0,0,0.2,2, , , ,0,777,0,777,1,Other,0,Other,1, ,2,4,0,6,0,0,0,3,4,4,2,2,4, ,4,2,3,2,3,3,1,4,1,3, ,2,0,1,1,4,0,5,3, ,1,2,3,1,1,3,3,Other group is also a group, ,777,BVCB-0-77-1,"2,01,2016","5,27,2016",1,2,4,999,777,Blank, 
