,ID,admin,age,sex,zone,gang,family,other,risk
0,BVCB-0-144-1,3,20.0,2,22.0,-7.812394643999999,-3.665695927,0.127677121,-5.196776292
1,BVCB-0-174-1,2,21.0,1,22.0,2.103629221,-1.267476727,2.41717111,9.762418581
2,Southeast 3-10-24-1,1,,2,21.0,,6.6264683710000005,-0.225166853,-2.651080225
3,Southeast 3-10-18-1,1,25.0,1,21.0,-8.583600888,6.6264683710000005,-0.225166853,-2.07308369
4,Southeast 3-10-17-1,1,24.0,2,21.0,-8.583600888,6.6264683710000005,1.413228016,-1.42139856
5,Southeast 3-10-19-1,1,24.0,2,21.0,-8.583600888,6.6264683710000005,-6.790298855,-2.724768821
6,RPARGR-PP-158-3,1,18.0,1,10.0,,,1.908423142,3.060074259
7,77th 3-20-146-1,1,19.0,2,3.0,,3.8518792630000003,-2.2001916130000003,-4.907778024
8,Foothill-14-192-1,1,20.0,2,5.0,0.910806778,-5.045979163999999,,7.027396099
9,BVCB-0-77-1,4,22.0,2,22.0,-5.34725767,-2.64336273,-2.901190992,2.985561633
10,Newton 1-17-66-1,1,16.0,1,12.0,2.77227686,-4.107233268,-1.63411077,4.570286236
11,77th 2-13-1301-1,1,17.0,2,2.0,,4.143221572,,4.1382374539999995
12,SPWTN-0-84-1,2,19.0,1,6.0,2.7681933689999996,-3.116842174,,-2.143482214
13,Harbor-21-127-1,1,20.0,1,6.0,3.0824922519999998,1.23381339,0.32114532100000004,6.446082315
14,NHSEA-0-218-3,1,16.0,1,8.0,,3.884276719,1.5939269059999999,-3.0104770160000003
15,Hollywood-12-35-1,1,15.0,2,10.0,0.762478228,-5.254223305,-4.132557528,8.732967485
16,Harbor-21-128-1,1,20.0,1,6.0,1.657398446,3.154308037,0.7512787,0.960958926
17,SPWTN-0-106-1,2,18.0,1,6.0,-0.709929435,0.646292914,,0.480412532
18,Harbor-21-107-1,2,19.0,1,6.0,0.1089579,3.0503731689999998,0.747063193,-0.48074234
19,RPARGR-PP-15-2,1,17.0,2,10.0,1.9982864480000002,-3.151063532,0.038726798,5.4608591760000005
20,Hollywood-12-34-1,1,14.0,2,10.0,0.605522792,3.204718092,2.3561099999999997,9.431806901
21,Hollywood-12-36-1,1,25.0,1,10.0,4.38066993,-6.946338355,-2.33511015,8.674174584
22,Southeast 1-22-17-1,1,18.0,1,19.0,,4.564202487,-1.901855263,-4.329781489
23,Southwest 2-23-39-1,1,18.0,2,23.0,,0.305589451,,1.014726348
24,Northeast-20-57-2,1,24.0,1,14.0,-6.286286145,6.455070479,3.7828494569999997,-4.907778024
25,BVCB-0-140-2,1,19.0,1,22.0,,,,
26,Southeast 1-22-33-1,1,17.0,1,19.0,,4.24577962,-3.949128988,4.043436764
27,Southwest 1-15-244-2,1,30.0,1,22.0,,3.226718702,1.810554349,-2.667041615
28,Hollenbeck 1-20-4-2,1,21.0,1,7.0,,-1.509407345,,-2.3780433469999998
29,Olympic-12-29-1,1,14.0,2,15.0,0.46485056799999996,-1.915291595,0.328482337,4.176713199
30,Southeast 1-22-31-1,1,17.0,1,19.0,,6.980736052999999,-0.580321615,2.8199986760000004
31,Foothill-14-227-1,1,19.0,1,5.0,,-3.1329225430000003,,6.37068549
32,77th 3-20-92-1,1,17.0,2,3.0,,-0.541185475,-0.012754917,-1.9834608830000002
33,Southeast 1-22-23-1,1,17.0,1,19.0,5.178874262,1.345223026,,12.10596451
34,77th 3-20-39-2,1,17.0,1,3.0,,,,
35,Harbor-21-111-1,2,20.0,1,6.0,0.7476589020000001,2.431349703,0.09481587699999999,-1.980170811
36,Northeast-20-25-2,1,16.0,2,14.0,,-0.493461904,,7.377411645
37,Northeast-20-12-2,1,18.0,2,14.0,3.094671015,-1.46490207,4.109412679,8.752554759
38,Northeast-20-97-2,1,15.0,2,14.0,-1.189219777,-4.834169973,1.631491113,3.122338726
39,Southeast 1-22-15-1,1,18.0,2,19.0,,-7.804256387000001,,-0.028069679
40,Foothill-14-219-1,1,18.0,2,5.0,-7.752973736,,,1.4325200569999998
