sentiment,selected_text
neutral,_ Oh please mark all toe tweets with #toe.  is trying to make trening topic out of #toe
worry,**** up your nose!
worry,miss
fear,"After seeing a horror film - Omen.  I could not sleep at night  even though I closed my eyes.  The last scene of the film kept coming back to me, I seemed to hear the girls in the film shouting at the devil.  The devil did not have any expression on his face and I thought that he would choose me."
anger,Being treated unfairly and being hurt by someone I love.
neutral,what`s wrong with you
sadness,"A few years ago my mother suffered from canccer and died within two years.  We had not finished our studies then and could not bear our responsibilities as her children.  My mother had tried her best to take care of us but she lived in pain these two years.  Neither the doctor nor we could do anything for her as cancer is incurable.  I was very eager to replace her in suffernig , even die instead of her."
neutral, Is he ok ? 
worry,
anger,There was anger in Jacob 's voice and stance as he led her towards Sylvie 's bedroom . 
worry,"how very rude fof them, you poor girl i hope you recovered from that  awful site"
sadness,
worry,just clicked on your bio. You`re in Cantazaro!? Have been to Italy several times. But never Calabria!
sadness,"I was miserable with cold , but although I was prepared to admit that I was miserable , I wasn't prepared to admit that my misery had any connection with cold . "
worry,
sadness,sad
anger,finally home for once after a dope **** week
neutral,
neutral,
neutral,
neutral,: psh...didn`t even pay for me though
neutral,Your cave? Does it have an espresso machine?
worry,
neutral,
fear,Left alone in the biology building surrounded by empty buildings.
sadness,"Plan for this evening: dinner, shopping for dress shirts, watching Up, going to bed. Plan for Saturday: Funeral for a friend..."
fear,Before giving a seminar to a rather large audience.
sadness,
anger,Someone didn't show up at a meeting in spite of having agreed to come.
neutral,
sadness,
fear,To see him fumbling with our rich and delicate language is to experience all the horror of seeing a Svres vase in the hands of a chimpanzee . 
neutral,Good night
neutral, OK . I see . 
sadness,it depress
sadness,Wenner would fly in to issue instructions to an increasingly disconsolate staff and Jagger would pay the bills . 
sadness,miss
worry,please
worry,"It`s not the internal fuse either  Poop. Might have to get the spare out of the loft, although that might be a job for 2 people..."
anger,"His eyes narrowed , and she felt a flicker of annoyance , this time aimed at herself . "
worry,they failed
sadness,The death of my grandfather.
neutral, Snipers ? 
worry,can`t set up my phone on twitter
neutral,hopefully it
neutral,"bach I`d suggest #pta for such alerts, but PTA generally stands for Parent Teacher Association in the US & might confuse tweeps"
anger,"I was subject to false accusations, and got very angry."
neutral,"I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won`t be there"
fear,Police became increasingly concerned for their prisoner 's health over the weekend . 
sadness,"Omg, someone just left me a voicemail at work    ffs let me have a day off"
neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
sadness,
fear,"Having quarreled with a boyfriend, he threatened to leave me."
fear,At the age of 12 years I always had to take care of my little brother and sister I never could sleep then. I always imagined creepy men sneaking into our house.
sadness,
anger,The woman was not affronted . 
sadness,INconvenient...
sadness,Congrats to ALL Graduates! Such a Beautiful thing & Big DEAL! I jus wish i cudve attended My lil man Ryan kdg graduation  Feel verY SAD!
sadness,I felt sad when a thief stole all the clothes from my friend's cupboard at school (boarding).
worry,for a fun group
neutral,hope
neutral,On our way to Disneyland... Without Retsi
neutral,Looking
anger,Fruit and vegetable growers in the area are furious about the decision . 
neutral,is back from a weekend get away
worry,
neutral,sign up for tarte news http://tinyurl.com/dde2v6 my intro in the newsletter AND 20% off first purchase 2for1
worry,broke.
sadness,"Assfuck, 'I`m sorry' roll. Okay I gave in.  I`m such a sucker."
sadness,"good,"
neutral,off to liverpool now!
anger,The sports fishermen who catch gulls instead of fish with their hooks.   It is often a mistake but it makes me angry.
neutral, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
sadness,I feel pity for the old man . 
worry,hopefully
sadness, I am not in the mood . 
sadness,
worry,
neutral,
neutral,fond
worry,Still sick at home
neutral,
sadness,
neutral,are you still coming to my place for dinner tomorrow night ? 
worry,great
worry,BIG NEWS?! But I don`t know if I can share it.
sadness,
worry,.. no luck
worry,wish
neutral,wish
worry,I missed the  announcement   Something about being flow out for a concert? Can anyone fill me in?
fear,I have been afraid several times. What marked me was that I almost didn't enter University.
neutral,eating halls cuz i have a sour throte
neutral,
neutral,hello hello hello  what u up to tonight??
anger,I was in love with a very beautiful girl and when I went back for my holidays I found her wth another guy who she said was just a friend.  Later I found them together and was convinced that there was something fishy.
sadness,"Dam it , I'm running out of money again , I really need to balance my budget and handle my money better . "
worry,"the free fillin` app on my ipod is fun, im addicted"
sadness,But yeah...I`m sad about my 'Ravenclaw' account. I love that account to bits.
neutral,
neutral,why have i not heard of said show?
sadness,Idk. I`m only a stupid 7th Grader
neutral, Why not ? 
worry,If I could only update my status in just one place....
sadness,Everything's gone wrong . 
sadness,Watching Jimmy F.  delete all his social network profiles  No more Jimmy cyber time.
worry,?  there`s big money to be paid
sadness,
