ID,admin,age,sex,zone,gang,family,other,risk
BVCB-0-144-1,3,20,2,22,-7.812394644,-3.665695927,0.127677121,-5.196776292
BVCB-0-174-1,2,21,1,22,2.103629221,-1.267476727,2.41717111,9.762418581
Southeast 3-10-24-1,1,NA,2,21,NA,6.626468371,-0.225166853,-2.651080225
Southeast 3-10-18-1,1,25,1,21,-8.583600888,6.626468371,-0.225166853,-2.07308369
Southeast 3-10-17-1,1,24,2,21,-8.583600888,6.626468371,1.413228016,-1.42139856
Southeast 3-10-19-1,1,24,2,21,-8.583600888,6.626468371,-6.790298855,-2.724768821
RPARGR-PP-158-3,1,18,1,10,NA,NA,1.908423142,3.060074259
77th 3-20-146-1,1,19,2,3,NA,3.851879263,-2.200191613,-4.907778024
Foothill-14-192-1,1,20,2,5,0.910806778,-5.045979164,NA,7.027396099
BVCB-0-77-1,4,22,2,22,-5.34725767,-2.64336273,-2.901190992,2.985561633
Newton 1-17-66-1,1,16,1,12,2.77227686,-4.107233268,-1.63411077,4.570286236
77th 2-13-1301-1,1,17,2,2,NA,4.143221572,NA,4.138237454
SPWTN-0-84-1,2,19,1,6,2.768193369,-3.116842174,NA,-2.143482214
Harbor-21-127-1,1,20,1,6,3.082492252,1.23381339,0.321145321,6.446082315
NHSEA-0-218-3,1,16,1,8,NA,3.884276719,1.593926906,-3.010477016
Hollywood-12-35-1,1,15,2,10,0.762478228,-5.254223305,-4.132557528,8.732967485
Harbor-21-128-1,1,20,1,6,1.657398446,3.154308037,0.7512787,0.960958926
SPWTN-0-106-1,2,18,1,6,-0.709929435,0.646292914,NA,0.480412532
Harbor-21-107-1,2,19,1,6,0.1089579,3.050373169,0.747063193,-0.48074234
RPARGR-PP-15-2,1,17,2,10,1.998286448,-3.151063532,0.038726798,5.460859176
Hollywood-12-34-1,1,14,2,10,0.605522792,3.204718092,2.35611,9.431806901
Hollywood-12-36-1,1,25,1,10,4.38066993,-6.946338355,-2.33511015,8.674174584
Southeast 1-22-17-1,1,18,1,19,NA,4.564202487,-1.901855263,-4.329781489
Southwest 2-23-39-1,1,18,2,23,NA,0.305589451,NA,1.014726348
Northeast-20-57-2,1,24,1,14,-6.286286145,6.455070479,3.782849457,-4.907778024
BVCB-0-140-2,1,19,1,22,NA,NA,NA,NA
Southeast 1-22-33-1,1,17,1,19,NA,4.24577962,-3.949128988,4.043436764
Southwest 1-15-244-2,1,30,1,22,NA,3.226718702,1.810554349,-2.667041615
Hollenbeck 1-20-4-2,1,21,1,7,NA,-1.509407345,NA,-2.378043347
Olympic-12-29-1,1,14,2,15,0.464850568,-1.915291595,0.328482337,4.176713199
Southeast 1-22-31-1,1,17,1,19,NA,6.980736053,-0.580321615,2.819998676
Foothill-14-227-1,1,19,1,5,NA,-3.132922543,NA,6.37068549
77th 3-20-92-1,1,17,2,3,NA,-0.541185475,-0.012754917,-1.983460883
Southeast 1-22-23-1,1,17,1,19,5.178874262,1.345223026,NA,12.10596451
77th 3-20-39-2,1,17,1,3,NA,NA,NA,NA
Harbor-21-111-1,2,20,1,6,0.747658902,2.431349703,0.094815877,-1.980170811
Northeast-20-25-2,1,16,2,14,NA,-0.493461904,NA,7.377411645
Northeast-20-12-2,1,18,2,14,3.094671015,-1.46490207,4.109412679,8.752554759
Northeast-20-97-2,1,15,2,14,-1.189219777,-4.834169973,1.631491113,3.122338726
Southeast 1-22-15-1,1,18,2,19,NA,-7.804256387,NA,-0.028069679
Foothill-14-219-1,1,18,2,5,-7.752973736,NA,NA,1.432520057
Foothill-14-211-1,1,16,2,5,NA,4.58290793,1.042278034,-0.031359751
