"ID","admin","age","sex","zone","gang","family","other","risk"
"77th 1-16-100-1",2,19,2,1,-3.697270816,-3.455834821,-1.281320994,-1.694462616
"77th 1-16-110-1",2,16,2,1,-3.026146994,-6.267489707,2.991682966,-2.378043347
"77th 1-16-111-1",2,21,2,1,NA,-4.636415241,-1.430306836,-5.485774559
"77th 1-16-112-1",2,21,2,1,NA,-9.655319799,-2.29184458,-3.408349552
"77th 1-16-113-1",2,18,2,1,NA,-1.008694169,-0.646112695,-5.485774559
"77th 1-16-114-1",2,16,2,1,-2.493864458,-1.379609128,1.227434491,-1.800046812
"77th 1-16-64-1",2,17,1,1,-1.619352679,-0.649773415,0.524949256,-1.745609678
"77th 1-16-81-1",2,18,2,1,-2.870912495,-0.007304049,-1.015941487,-2.667041615
"77th 1-16-82-1",2,17,2,1,NA,-0.899797612,-0.229017694,-1.640025481
"77th 1-16-83-1",2,18,2,1,-0.198177983,3.442979138,-0.704931425,-4.907778024
"77th 1-16-84-1",2,19,2,1,-3.489614028,-3.706283057,-1.096406598,-1.745609678
"77th 1-16-91-1",2,18,1,1,0.468238063,-2.08374167,NA,-1.745609678
"77th 1-16-92-1",2,17,2,1,NA,-0.427426007,-1.447710518,-1.726358217
"77th 1-16-94-1",2,17,2,1,-3.020304276,-1.784085839,-1.364515756,-3.986346087
"77th 1-16-95-1",2,18,2,1,0.689393895,-0.641018306,-0.723456297,-1.745609678
"77th 1-16-96-1",2,19,2,1,NA,-0.770479688,-1.196640376,-2.378043347
"77th 1-16-99-1",2,18,2,1,-0.420654097,1.399257666,-1.82451166,-2.956039882
"77th 2-13-1290-2",2,16,1,2,-2.424332,-2.007906755,NA,0.663645108
"77th 2-13-1305-1",2,16,1,2,-2.947384323,-3.442048388,NA,2.448112063
"77th 2-13-1309-1",2,19,2,2,NA,-4.792108535,NA,1.956266769
"77th 2-13-1382-2",2,19,1,2,NA,1.709435867,NA,-2.956039882
"77th 2-13-1383-2",2,18,1,2,NA,2.41914664,NA,-3.460347822
"77th 2-13-1384-2",2,20,1,2,NA,-0.151003552,NA,-1.6993066
"77th 2-13-1399-1",2,19,1,2,NA,1.303830728,-1.732858693,-5.485774559
"77th 2-13-1411-1",2,19,1,2,-3.474047772,-3.573042629,-3.33829672,-0.333337972
"77th 3-20-334-1",2,18,2,3,NA,-4.868377977,NA,-1.020235952
"BVCB-0-174-1",2,21,1,22,2.103629221,-1.267476727,2.41717111,9.762418581
"BVCB-0-184-2",2,19,2,22,3.501193323,-0.287942982,NA,4.844359719
"BVCB-0-196-3",2,24,1,22,2.449410339,-0.190827923,1.426416192,3.906966393
"BVCB-0-215-3",2,23,1,22,2.102308939,-0.874347373,-1.168021646,4.992072722
"BVCB-0-222-2",2,25,1,22,1.022616555,5.752756525,2.296776807,0.104900034
"BVCB-0-225-3",2,23,1,22,NA,-2.176673279,NA,3.076035648
"BVCB-0-235-3",2,21,1,22,NA,0.786534957,NA,6.624652402
"BVCB-0-88-3",2,22,1,22,-3.165427226,0.657111712,NA,-2.015356484
"CPHBRE-0-109-1",2,19,1,999,0.609534572,-10.58901745,1.485234922,2.549186175
"CPHBRE-0-110-1",2,16,2,999,0.830690404,2.399299597,NA,3.34093847
"CPHBRE-0-61-1",2,18,1,999,2.133575858,-0.547764725,NA,0.745649254
"CPHBRE-0-82-1",2,16,1,999,3.680696122,0.443627004,-1.072030566,5.152609447
"CPHBRE-0-83-1",2,16,1,999,-3.426641245,4.568334831,0.617846018,-2.667041615
"CPHBRE-0-98-1",2,18,1,999,1.668256927,2.082457828,NA,4.783342441
"Devonshire-Topanga-11-100-2",2,19,1,4,0.722512711,-0.989204964,-1.616707088,2.279439369
"Devonshire-Topanga-11-101-1",2,18,1,4,0.858569829,-2.212316654,1.509246288,2.549186175
"Devonshire-Topanga-11-103-1",2,18,1,4,-0.81207907,0.203368652,0.715350145,4.430707289
"Devonshire-Topanga-11-105-2",2,22,2,4,NA,1.517680903,NA,-0.824177741
"Devonshire-Topanga-11-108-1",2,18,1,4,2.936487966,-0.826853461,0.263570386,7.651180318
