,ID,Strategy,Progress,Strategy_Label,problem,class,admin,age,sex,zone,gang,family,other,risk
0,77th 1-16-64-1,referred him to in-house services through sea charter school,A Little progress,get mentored for school/work,client has a lot of issues he is a foster kid and he been looking for his real mom and always thought of finding his siblings if he had any.,face spme kind of problem,intake,17.0,1,1.0,-0.014131788,-1.60601219,-0.178779775,2.27612212
2,77th 1-16-81-1,life skills- self love,Some progress,substance abuse/anger management/life skill,LOW SELF ESTEEM,face spme kind of problem,intake,18.0,2,1.0,0.564768609,1.581231343,,-0.432885349
4,77th 1-16-95-1,one on one anger management skills,Task/Service successfully completed,substance abuse/anger management/life skill,Client has girl drama at school with gossiping CM will have Individual Sessions for Anger Management,face spme kind of problem,intake,17.0,2,1.0,1.874593433,-1.282688246,,2.209040845
6,77th 1-16-110-1,refer her to a youth pastor,Good progress,get mentored for school/work,CLient and mother got into a fight and she got kicked out of the house and moved with her grandparents (father's parents),face spme kind of problem,intake,15.0,2,1.0,1.277709845,1.478280571,,2.8062616639999995
8,77th 1-16-114-1,cm will have her start job readiness program in jan. 2018,Task/Service successfully completed,get mentored for school/work,she needs a job/issue is she never attended a job readiness program,"id, work related isssues",intake,16.0,2,1.0,-0.369860075,-2.322408821,,-0.246181206
59,Devonshire-Topanga-11-7-2,enroll ct and ct's daughter in san fernando valley rescue mission for housing and supportive services.,A Little progress,get mentored for school/work,"Ct is currently homeless, living with mother and daughter at friend's apartment.",face spme kind of problem,intake,22.0,2,4.0,0.760246635,0.8907679540000001,,-1.58556117
64,Devonshire-Topanga-11-97-1,recommended to go to the gym and work out the stress. ciw offered to go with ct. ct said he will give that a try and also go jogging in the late evenings. ,Some progress,get mentored for school/work,Emotional mood swings and feeling the pressure of getting involved in negative activities in the community. Posses a big problem. ,face spme kind of problem,intake,17.0,1,4.0,1.743214116,1.835158821,4.491550518,-1.058738875
66,Devonshire-Topanga-11-98-1,recommended he sign up with ruth youth charter school and continue with education. ,Some progress,get mentored for school/work,Hanging out with gang affiliated friends out on the streets and not going to school ,face spme kind of problem,intake,18.0,1,4.0,3.600140803,5.56875998,,0.170942791
69,Devonshire-Topanga-11-101-1,has recommended counseling for substance use as well as anger management thru ttc. ct has been attending for a while and has much improved over all.  ,Good progress,substance abuse/anger management/life skill,CT's problem is that he was selling substances and is usually under the influence. Bad behavior and hanging out with gang affiliated individuals. ,face spme kind of problem,intake,16.0,1,4.0,-0.884652746,-1.877855606,1.4922072709999998,3.871807897
81,Devonshire-Topanga-11-103-1,referral to counseling with ttc,N/A - not applicable to this phase,get mentored for school/work,"Ct involved in substances, is part of a known gang, continues to surround himself. ",face spme kind of problem,intake,17.0,1,4.0,,-2.778915238,4.693139264,8.248735037000001
85,Devonshire-Topanga-11-105-2,"recommended counseling with el proyecto, said hours would work out best. ct is excited, really wants to stop behaving wield. ",A Little progress,get mentored for school/work,"CT has issues with anger and very explosive, CT continues to hang out with affiliated members of the community and gets in trouble. Goal is to have CT disconnect herself.",need something,intake,21.0,2,4.0,,-0.4466604220000001,1.482505271,2.678163112
87,Devonshire-Topanga-11-108-1,"strongly recommend health services thur tarzana treatment center, for emotional issues and substances. ",A Little progress,get mentored for school/work,CT has both emotional and behavior issues. Which have caused him to associate or be part of a known crew in the neighborhood. Using substance being aggressive with parent,face spme kind of problem,intake,17.0,1,4.0,2.936487966,-0.8268534609999999,-0.053290836,7.651180318
99,Devonshire-Topanga-11-115-1,one of the strategies recommended is for ct to attend an anger management workshop or accept therapy from inhouse mentors. ,N/A - not applicable to this phase,substance abuse/anger management/life skill,"Poor behavior, anger issues, depression. Using substances and hanging out with crew members that are negative influence. ",need something,intake,19.0,1,4.0,-2.248001381,-5.852562165,2.462436999,3.274532724
101,Devonshire-Topanga-11-119-1,recommended life skills and anger management workshop series as well as substance information classes. ,N/A - not applicable to this phase,substance abuse/anger management/life skill,Ct's use of substances and hanging out with affiliated members and negative peers. ,face spme kind of problem,intake,18.0,2,4.0,,-2.181260563,,4.73548545
110,Devonshire-Topanga-11-123-1,ciw recommend client attend workshop for anger management. ciw will work with client on internal life skills workshops that consist of field trips as well.   ,No progress,substance abuse/anger management/life skill,substance abuse/ drinking/ anger/ gang affiliated/trauma/family behavior  ,need something,intake,17.0,1,4.0,1.267855346,-0.8827547459999999,1.980430048,2.333876503
114,Devonshire-Topanga-11-125-1,enrollment at providence tattoo removal program.,No progress,get mentored for school/work,"Ct. has visible antisocial tattoos that he would like removed, they cause tension in the community. ",face spme kind of problem,intake,20.0,1,4.0,-0.39848643,0.234890198,1.3749344769999998,0.784152176
120,Devonshire-Topanga-11-129-1,recommended referral with ttc for anger management and substance use. ,Some progress,substance abuse/anger management/life skill,Client struggles with his family and has community service hours to complete for his diversion program.,face spme kind of problem,intake,16.0,1,4.0,2.260217422,0.511455311,-2.086769659,3.418619842
124,Devonshire-Topanga-11-131-1,"recommended joining an art workshop, to better or to learn how to deal with emotions and expressing them. ",A Little progress,get mentored for school/work,"CT undergoing some depression, anger issues, due to the health issues with both of his parents. Having affiliated friends that want him to continue hanging out at hot spo",need something,intake,18.0,1,4.0,-0.541010552,1.421837758,-0.507193519,0.0034901090000000004
131,Devonshire-Topanga-11-162-1,"as a team, best strategy is recommendation and referral to a rehab treatment facility and mentoring. ",No progress,get mentored for school/work,The Ct's main problem is his use of substances and hanging out in hot spots with known affiliated members.  He comes from a single family household. Very unmotivated.,face spme kind of problem,intake,17.0,1,4.0,2.498884079,-4.866720603,,2.14799639
242,Foothill-14-410-1,"cm provided tap card resource, drove client to metro/union station to apply for card.",Good progress,developmental asset,transportation,face spme kind of problem,intake,25.0,2,5.0,0.690971228,-6.398314928,,-2.830353017
321,Foothill-14-437-1,tattoo removal resource,Good progress,get mentored for school/work,unwanted tattoos,face spme kind of problem,intake,18.0,2,5.0,,-0.127412723,,-3.69734782
345,Foothill-14-451-1,"put attendance contract in place, provide transportation as needed in an effort to improve attendance. ",A Little progress,developmental asset,poor attendance,face spme kind of problem,intake,17.0,1,5.0,,3.279000926,2.010142776,-2.378043347
624,Harbor-21-150-1,developmental assets,A Little progress,couseling service (employment etc),"Touchy, easily annoyed by others",face spme kind of problem,intake,21.0,1,6.0,0.973522511,4.22753388,-0.608913154,-0.721883616
659,Harbor-21-167-2,developmental assets,A Little progress,couseling service (employment etc),Peer Pressure,face spme kind of problem,intake,22.0,1,6.0,0.7476589020000001,0.994646128,,-2.956039882
669,Harbor-21-171-1,developmental assets,A Little progress,couseling service (employment etc),Procrastinate,face spme kind of problem,intake,19.0,2,6.0,-2.274467853,-1.84250992,,0.15169133
679,Harbor-21-175-1,developmental assets,A Little progress,couseling service (employment etc),Drinking,face spme kind of problem,intake,23.0,1,6.0,2.362991342,1.221590122,,2.331410461
687,Harbor-21-176-2,developmental assets,A Little progress,couseling service (employment etc),Poor decision making skills,face spme kind of problem,intake,17.0,1,6.0,-0.031642613,0.13762196599999998,-0.152038758,-0.878614875
689,Harbor-21-179-1,developmental assets,A Little progress,couseling service (employment etc),Peer Pressure,face spme kind of problem,intake,18.0,2,6.0,0.6453239279999999,-2.399099828,,-2.08904508
694,Harbor-21-184-2,developmental assets,A Little progress,couseling service (employment etc),"Housing, family",face spme kind of problem,intake,21.0,1,6.0,3.193618494,0.7417992240000001,,1.033977809
696,Harbor-21-196-1,developmental assets,A Little progress,couseling service (employment etc),Family issues,need something,intake,17.0,1,6.0,1.4536607680000002,5.243729799,0.7485490490000001,3.2872040410000003
700,Harbor-21-199-1,developmental assets,A Little progress,couseling service (employment etc),Grief,face spme kind of problem,intake,17.0,1,6.0,2.964806337,2.763528102,,0.562235183
