GRYD_ETO_ID,S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,text_all,Emotion
BVCB-0-144-1,"Working out, CBT, boxing","School. Poor grades, car accident, not enough work hours",School,,School,Other group,Group,Somebody got out of jail that brought a lot of drama,School. work. moving,"BVCB-0-144-1,Working out, CBT, boxing,School. Poor grades, car accident, not enough work hours,School,School,Other group,Group,Somebody got out of jail that brought a lot of drama,School. work. moving",fear
BVCB-0-174-1,Basketball,Mother died,Basketball,,,No name,Money Gang,,,"BVCB-0-174-1,Basketball,Mother died,Basketball,No name,Money Gang",sadness
Southeast 3-10-24-1,Extra activities with children,Favor cousin was murder and never found his killer :(,"Church, job and school",Church choir and praise team,,Church group,No group,,,"Southeast 3-10-24-1,Extra activities with children,Favor cousin was murder and never found his killer :(,Church, job and school,Church choir and praise team,Church group,No group",sadness
Southeast 3-10-18-1,Actor/dance,Best friend brother was murder [sic] by 16 and 13 :(,"Church, school and job",Church choir and praise team,,No name,No name,,,"Southeast 3-10-18-1,Actor/dance,Best friend brother was murder [sic] by 16 and 13 :(,Church, school and job,Church choir and praise team,No name,No name",sadness
Southeast 3-10-17-1,Singing,Best fried brother was murder [sic] by 18yr boy,"Church, job, and school",Church choir and praise team,,No name,No name,,,"Southeast 3-10-17-1,Singing,Best fried brother was murder [sic] by 18yr boy,Church, job, and school,Church choir and praise team,No name,No name",anger
Southeast 3-10-19-1,Singing in church praise team choir,Best friend brother was murder [sic] by 22yr man! :(,"All church, job and school",Church choir and praise team,,No name,No name,,,"Southeast 3-10-19-1,Singing in church praise team choir,Best friend brother was murder [sic] by 22yr man! :(,All church, job and school,Church choir and praise team,No name,No name",sadness
Foothill-14-192-1,,My mom going to jail,,,,No other group,Homies,My mom went to jail,I want to get my high school diploma or GED,"Foothill-14-192-1,My mom going to jail,No other group,Homies,My mom went to jail,I want to get my high school diploma or GED",sadness
BVCB-0-77-1,"Looking for a job, studying, reading",Broke up with my long time boyfriend.,,,Other,Other,Group,Yea. It's nothing over there. All bad stuff people dying.,Trying to go to school. Looking for a job,"BVCB-0-77-1,Looking for a job, studying, reading,Broke up with my long time boyfriend.,Other,Other,Group,Yea. It's nothing over there. All bad stuff people dying.,Trying to go to school. Looking for a job",sadness
77th 2-13-1301-1,Church,Family member killed,,,,No other group,No group,,,"77th 2-13-1301-1,Church,Family member killed,No other group,No group",fear
SPWTN-0-84-1,GRYD,Friend was shot,,,,No other group,Homies,Nothing,No,"SPWTN-0-84-1,GRYD,Friend was shot,No other group,Homies,Nothing,No",fear
Harbor-21-127-1,,Relationship,School peer,,Neighbors,Co-workers,Homies,Friend was shot,Having a kid,"Harbor-21-127-1,Relationship,School peer,Neighbors,Co-workers,Homies,Friend was shot,Having a kid",joy
Harbor-21-128-1,,Getting shot at,Co-worker,,,Co-workers,Homies,Nothing,"Yes, picked up more work and brought a ss truck","Harbor-21-128-1,Getting shot at,Co-worker,Co-workers,Homies,Nothing,Yes, picked up more work and brought a ss truck",fear
RPARGR-PP-15-2,Drug free world workshop,Very stressful hanging out with the wrong people.,,,Friends,Friends,Homies,Nothing,Coming to workshops at Aztecs Rising pulls me from hanging with my homies,"RPARGR-PP-15-2,Drug free world workshop,Very stressful hanging out with the wrong people.,Friends,Friends,Homies,Nothing,Coming to workshops at Aztecs Rising pulls me from hanging with my homies",fear
Hollywood-12-34-1,,When my brother got busted,,,Friends,Friends,Homies,Brother is in jail but this has brought me closer to my homies,No.,"Hollywood-12-34-1,When my brother got busted,Friends,Friends,Homies,Brother is in jail but this has brought me closer to my homies,No.",anger
Hollywood-12-36-1,,I became homeless,,,At Aztecs worksop,Other people,Droopy,Nothing,I started working as a welder and had a girlfriend,"Hollywood-12-36-1,I became homeless,At Aztecs worksop,Other people,Droopy,Nothing,I started working as a welder and had a girlfriend",fear
Southeast 1-22-31-1,Training for football,Client declines to talk about it,School/training/friends,Football team,Friends from the block,Football/training,No group,,,"Southeast 1-22-31-1,Training for football,Client declines to talk about it,School/training/friends,Football team,Friends from the block,Football/training,No group",neutral
Southeast 1-22-23-1,,Not able to see my daughter,,,,No other group,Bagos,"The homies gave me a gun, then told me I see a future in you to be in the Bagos","Getting shot in the leg or any other part of my body. If my mother pass I will have to take care of my brother, brother and one sister","Southeast 1-22-23-1,Not able to see my daughter,No other group,Bagos,The homies gave me a gun, then told me I see a future in you to be in the Bagos,Getting shot in the leg or any other part of my body. If my mother pass I will have to take care of my brother, brother and one sister",fear
Harbor-21-111-1,,Best friend was killed in a car to car shooting,,,Neighbors to watch soccer,Soccer,E3,Nothing,No,"Harbor-21-111-1,Best friend was killed in a car to car shooting,Neighbors to watch soccer,Soccer,E3,Nothing,No",sadness
Northeast-20-25-2,,Transferring out of schools,,,Acquintances,Acquaintances,No name,"The death of my cousin by his own best friend, helps me not to trust anyone",Moving schools,"Northeast-20-25-2,Transferring out of schools,Acquintances,Acquaintances,No name,The death of my cousin by his own best friend, helps me not to trust anyone,Moving schools",fear
Northeast-20-12-2,"Drug program, job preparation, GRYD",Can't smoke anymore,,Drug Program. GRYD,Boyfriend + Best friend,Ride or dies,Homegirls,"Yes, turning 18 and having to look for a job. Getting locked up has helped me stay away from trouble",Turning 18 and having to get a job,"Northeast-20-12-2,Drug program, job preparation, GRYD,Can't smoke anymore,Drug Program. GRYD,Boyfriend + Best friend,Ride or dies,Homegirls,Yes, turning 18 and having to look for a job. Getting locked up has helped me stay away from trouble,Turning 18 and having to get a job",fear
Northeast-20-97-2,,Family situation/home problems,School friends. Childhood friends.,,Same friends from school,Squad,Friends,"""2 of my friends got hurt really bad""","""Nothing""","Northeast-20-97-2,Family situation/home problems,School friends. Childhood friends.,Same friends from school,Squad,Friends,""2 of my friends got hurt really bad"",""Nothing""",sadness
Southeast 1-22-15-1,,My friend died of cancer,,,,No other group,No name,When I got to be on my own,"Enroll in school, had a job, legal issues taken care of","Southeast 1-22-15-1,My friend died of cancer,No other group,No name,When I got to be on my own,Enroll in school, had a job, legal issues taken care of",sadness
Foothill-14-219-1,,Ex-boyfriend drama,School friends,Female empowerment,Old schools,Female empowerment group,Terra Bella,"My brother was shot and killed so that's why I don't want to hang out with them because if you hang out with them, b/c you're cool with someone you can be shot at","Yes, I want to get myself up and do good, get my life going, and not be down like them.","Foothill-14-219-1,Ex-boyfriend drama,School friends,Female empowerment,Old schools,Female empowerment group,Terra Bella,My brother was shot and killed so that's why I don't want to hang out with them because if you hang out with them, b/c you're cool with someone you can be shot at,Yes, I want to get myself up and do good, get my life going, and not be down like them.",sadness
Foothill-14-211-1,,Getting locked up,G.A.N.G.,,,G.A.N.G.,No group,,,"Foothill-14-211-1,Getting locked up,G.A.N.G.,G.A.N.G.,No group",fear
Southeast 1-22-27-1,Working,Problems in family,,,,No other group,Hoovers,My boyfriend got jumped and he went back and shot the people - so now people are telling me that is my fault that the person is my boyfriend,I want enroll in college,"Southeast 1-22-27-1,Working,Problems in family,No other group,Hoovers,My boyfriend got jumped and he went back and shot the people - so now people are telling me that is my fault that the person is my boyfriend,I want enroll in college",sadness
Northeast-20-98-2,Life skills workshop,Family problems,,,Just friends,Friends,MILK,Nothing,Nothing,"Northeast-20-98-2,Life skills workshop,Family problems,Just friends,Friends,MILK,Nothing,Nothing",sadness
Northeast-20-1-2,GRYD,Been away from home.,Sports friend,,Old classmates,The squat,No group,,,"Northeast-20-1-2,GRYD,Been away from home.,Sports friend,Old classmates,The squat,No group",sadness
NHSEA-0-222-3,GRYD mentorship,Family/Friends actions,School and job,,Positive role model,Role models,No group,,,"NHSEA-0-222-3,GRYD mentorship,Family/Friends actions,School and job,Positive role model,Role models,No group",anger
Southeast 1-22-24-1,School and work,Ended a relationship,,,,No other group,Hoovers,Because I was not doing anything - My friends were doing things that got them in trouble w/the law,I be going to school and began working,"Southeast 1-22-24-1,School and work,Ended a relationship,No other group,Hoovers,Because I was not doing anything - My friends were doing things that got them in trouble w/the law,I be going to school and began working",sadness
Northeast-20-64-2,,Family problems,,,,No other group,Friends,Friends getting hurt,Free time,"Northeast-20-64-2,Family problems,No other group,Friends,Friends getting hurt,Free time",sadness
Southeast 1-22-32-1,Swimming,Friend was shot,,,,No other group,No group,,,"Southeast 1-22-32-1,Swimming,Friend was shot,No other group,No group",fear
Harbor-21-137-1,,Getting shot,,,,No other group,Homies,Getting shot and almost dying,No,"Harbor-21-137-1,Getting shot,No other group,Homies,Getting shot and almost dying,No",fear
Foothill-14-224-1,,Moving back home,,,,No other group,Homies,"Respect, loyal, good times",Moving back home,"Foothill-14-224-1,Moving back home,No other group,Homies,Respect, loyal, good times,Moving back home",neutral
Northeast-20-100-2,,Lost of grandmother,,,,No other group,Friends,Family,Too much free time.,"Northeast-20-100-2,Lost of grandmother,No other group,Friends,Family,Too much free time.",sadness
Harbor-21-134-1,,Grandfather and father died,Cheryl Green Center,Youth Club,Youth Club,Youth club,4,Nothing,Went to rise up,"Harbor-21-134-1,Grandfather and father died,Cheryl Green Center,Youth Club,Youth Club,Youth club,4,Nothing,Went to rise up",sadness
BVCB-0-235-2,School/classes,Uncle was murdered,,,,No other group,Group,,,"BVCB-0-235-2,School/classes,Uncle was murdered,No other group,Group",sadness
Harbor-21-112-1,GRYD,Family member shot,Used to but no longer working full time,,,No other group,Cruces,Best friend was shot,No,"Harbor-21-112-1,GRYD,Family member shot,Used to but no longer working full time,No other group,Cruces,Best friend was shot,No",anger
Northeast-20-83-2,Northeast Youth Council,Family issues,Youth council,,Northeast Youth Council,Youths counsel,No group,,,"Northeast-20-83-2,Northeast Youth Council,Family issues,Youth council,Northeast Youth Council,Youths counsel,No group",sadness
Northeast-20-10-2,GRYD,Being homeless,,,,No other group,Friends,Going to jail,Spending more time with my mom,"Northeast-20-10-2,GRYD,Being homeless,No other group,Friends,Going to jail,Spending more time with my mom",fear
77th 3-20-30-1,,How I have not been able to get a job.,Cooking class,,,No other group,No group,,,"77th 3-20-30-1,How I have not been able to get a job.,Cooking class,No other group,No group",sadness
Northeast-20-90-2,GRYD,Living with mom,Job and school,,Friends,Friends,Family,Nothing,"Being busy, starting to work","Northeast-20-90-2,GRYD,Living with mom,Job and school,Friends,Friends,Family,Nothing,Being busy, starting to work",neutral
BVCB-0-191-1,"Volunteering, excersizing [sic], church, reading regularly",Work. Stress. Racism,,,,No other group,Group,No. I moved to calif to make a change,Growing up. Being a man. Being a father. Taking responsibility for my actions,"BVCB-0-191-1,Volunteering, excersizing [sic], church, reading regularly,Work. Stress. Racism,No other group,Group,No. I moved to calif to make a change,Growing up. Being a man. Being a father. Taking responsibility for my actions",fear
Southeast 1-22-18-1,Doctor appointment (pregnant) WIC,My operation in my legs,,,,No other group,Hoovers,Them going to jail. I don't want to be around that. I don't want to be around when enemies come around and I will get shot,My been pregnant,"Southeast 1-22-18-1,Doctor appointment (pregnant) WIC,My operation in my legs,No other group,Hoovers,Them going to jail. I don't want to be around that. I don't want to be around when enemies come around and I will get shot,My been pregnant",joy
Southeast 1-22-34-1,"Counseling. doctor, appt.",Passing of Dad,,,,No other group,Hoovers,"My dad passing, my friend talk bad about me",I am in a relationship w my girl. Ex friends everyone and talking bad about me downing me.,"Southeast 1-22-34-1,Counseling. doctor, appt.,Passing of Dad,No other group,Hoovers,My dad passing, my friend talk bad about me,I am in a relationship w my girl. Ex friends everyone and talking bad about me downing me.",sadness
Southeast 1-22-8-1,Help in my home,Not getting along with my mom,,,,No other group,Hoovers,Nothing,Nothing they're my family,"Southeast 1-22-8-1,Help in my home,Not getting along with my mom,No other group,Hoovers,Nothing,Nothing they're my family",fear
Harbor-21-113-1,,Best friend was shot,,,,No other group,4th,Losing custody of my kids,No,"Harbor-21-113-1,Best friend was shot,No other group,4th,Losing custody of my kids,No",sadness
Harbor-21-109-1,GRYD,Friend shot in front of client's apt,,,,No other group,227,Friend was shot in front of apartment,Getting tickets cleared up,"Harbor-21-109-1,GRYD,Friend shot in front of client's apt,No other group,227,Friend was shot in front of apartment,Getting tickets cleared up",fear
Mission-19-92-1,GRYD,Car broke down,Co-workers,,Co workers/GRYD,G,G's,Death of friends,Having a son,"Mission-19-92-1,GRYD,Car broke down,Co-workers,Co workers/GRYD,G,G's,Death of friends,Having a son",fear
Hollenbeck 1-20-27-2,Urban Arts Movement Program,Moving homes,Classmates or sports,Urban Arts Movement Program,,No other group,Homies,When my brother came out of prison,Trying to graduate school and get a job.,"Hollenbeck 1-20-27-2,Urban Arts Movement Program,Moving homes,Classmates or sports,Urban Arts Movement Program,No other group,Homies,When my brother came out of prison,Trying to graduate school and get a job.",neutral
BVCB-0-213-2,Looking for a job,My dad being in jail all my life,,,,No other group,Group,Yea. Losing closed loved ones.,Yea. Going to school.,"BVCB-0-213-2,Looking for a job,My dad being in jail all my life,No other group,Group,Yea. Losing closed loved ones.,Yea. Going to school.",sadness
77th 1-16-57-1,,I don't have a job and I need money for baby stuff,,,,GRYD,Homies,I can't really go anywhere because I get worried about my boyfriend getting stopped by the police going to jail,"I'm getting married, having a child and graduating from school. Don't really have energy to go out and hang out with friends","77th 1-16-57-1,I don't have a job and I need money for baby stuff,GRYD,Homies,I can't really go anywhere because I get worried about my boyfriend getting stopped by the police going to jail,I'm getting married, having a child and graduating from school. Don't really have energy to go out and hang out with friends",sadness
77th 1-16-56-1,Library/basketball,Me and my mom fighting and getting in arguments,,,Best friends,Best friends,Family,Me and my mom getting into a fight and her calling the cops on me and taking me thing away. And handcuff and it's like I don't know who she is to me anymore,When someone makes me feel that I had to do something I didn't want to and it hurt me to know that I did this and I cry about it sometimes,"77th 1-16-56-1,Library/basketball,Me and my mom fighting and getting in arguments,Best friends,Best friends,Family,Me and my mom getting into a fight and her calling the cops on me and taking me thing away. And handcuff and it's like I don't know who she is to me anymore,When someone makes me feel that I had to do something I didn't want to and it hurt me to know that I did this and I cry about it sometimes",joy
